sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;SUP. INCOMP;;5578;5578;5578;5578;5578;5578;5578;5578;5578;5578;5578;5578
;;;;SUP. INCOMP;SIM;5064;5064;5064;5064;5064;5064;5064;5064;5064;5064;5064;5064
;;;;SUP. INCOMP;NÃO;514;514;514;514;514;514;514;514;514;514;514;514
;;;;SUP. COMP;;15890;15890;15890;15890;15890;15890;15890;15890;15890;15890;15890;15890
;;;;SUP. COMP;SIM;14726;14726;14726;14726;14726;14726;14726;14726;14726;14726;14726;14726
;;;;SUP. COMP;NÃO;2297;2297;2297;2297;2297;2297;2297;2297;2297;2297;2297;2297
;;;;MESTRADO;;342;342;342;342;342;342;342;342;342;342;342;342
;;;;MESTRADO;SIM;308;308;308;308;308;308;308;308;308;308;308;308
;;;;MESTRADO;NÃO;34;34;34;34;34;34;34;34;34;34;34;34
;;;;DOUTORADO;;150;150;150;150;150;150;150;150;150;150;150;150
;;;;DOUTORADO;SIM;143;143;143;143;143;143;143;143;143;143;143;143
;;;;DOUTORADO;NÃO;7;7;7;7;7;7;7;7;7;7;7;7
;;;14 a 17;;;1710;1710;1710;1710;1710;1710;1710;1710;1710;1710;1710;1710
;;;14 a 17;;SIM;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214;1214
;;;14 a 17;;NÃO;496;496;496;496;496;496;496;496;496;496;496;496
;;;14 a 17;ANALFABETO;;7;7;7;7;7;7;7;7;7;7;7;7
;;;14 a 17;ANALFABETO;SIM;5;5;5;5;5;5;5;5;5;5;5;5
;;;14 a 17;ANALFABETO;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;;14 a 17;ATE 5.A INC;;6;6;6;6;6;6;6;6;6;6;6;6
;;;14 a 17;ATE 5.A INC;SIM;4;4;4;4;4;4;4;4;4;4;4;4
;;;14 a 17;ATE 5.A INC;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;;14 a 17;5.A CO FUND;;6;6;6;6;6;6;6;6;6;6;6;6
;;;14 a 17;5.A CO FUND;SIM;6;6;6;6;6;6;6;6;6;6;6;6
;;;14 a 17;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;6. A 9. FUND;;69;69;69;69;69;69;69;69;69;69;69;69
;;;14 a 17;6. A 9. FUND;SIM;29;29;29;29;29;29;29;29;29;29;29;29
;;;14 a 17;6. A 9. FUND;NÃO;40;40;40;40;40;40;40;40;40;40;40;40
;;;14 a 17;FUND COMPL;;83;83;83;83;83;83;83;83;83;83;83;83
;;;14 a 17;FUND COMPL;SIM;58;58;58;58;58;58;58;58;58;58;58;58
;;;14 a 17;FUND COMPL;NÃO;25;25;25;25;25;25;25;25;25;25;25;25
;;;14 a 17;MEDIO INCOMP;;699;699;699;699;699;699;699;699;699;699;699;699
;;;14 a 17;MEDIO INCOMP;SIM;411;411;411;411;411;411;411;411;411;411;411;411
;;;14 a 17;MEDIO INCOMP;NÃO;288;288;288;288;288;288;288;288;288;288;288;288
;;;14 a 17;MEDIO COMPL;;800;800;800;800;800;800;800;800;800;800;800;800
;;;14 a 17;MEDIO COMPL;SIM;672;672;672;672;672;672;672;672;672;672;672;672
;;;14 a 17;MEDIO COMPL;NÃO;128;128;128;128;128;128;128;128;128;128;128;128
;;;14 a 17;SUP. INCOMP;;33;33;33;33;33;33;33;33;33;33;33;33
;;;14 a 17;SUP. INCOMP;SIM;23;23;23;23;23;23;23;23;23;23;23;23
;;;14 a 17;SUP. INCOMP;NÃO;10;10;10;10;10;10;10;10;10;10;10;10
;;;14 a 17;SUP. COMP;;6;6;6;6;6;6;6;6;6;6;6;6
;;;14 a 17;SUP. COMP;SIM;5;5;5;5;5;5;5;5;5;5;5;5
;;;14 a 17;SUP. COMP;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;MESTRADO;;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;MESTRADO;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;;;42;42;42;42;42;42;42;42;42;42;42;42
;;;18 a 24;;SIM;39;39;39;39;39;39;39;39;39;39;39;39
;;;18 a 24;;NÃO;2162;2162;2162;2162;2162;2162;2162;2162;2162;2162;2162;2162
;;;18 a 24;ANALFABETO;;146;146;146;146;146;146;146;146;146;146;146;146
;;;18 a 24;ANALFABETO;SIM;116;116;116;116;116;116;116;116;116;116;116;116
;;;18 a 24;ANALFABETO;NÃO;30;30;30;30;30;30;30;30;30;30;30;30
;;;18 a 24;ATE 5.A INC;;248;248;248;248;248;248;248;248;248;248;248;248
;;;18 a 24;ATE 5.A INC;SIM;228;228;228;228;228;228;228;228;228;228;228;228
;;;18 a 24;ATE 5.A INC;NÃO;20;20;20;20;20;20;20;20;20;20;20;20
;;;18 a 24;5.A CO FUND;;207;207;207;207;207;207;207;207;207;207;207;207
;;;18 a 24;5.A CO FUND;SIM;199;199;199;199;199;199;199;199;199;199;199;199
;;;18 a 24;5.A CO FUND;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;;18 a 24;6. A 9. FUND;;755;755;755;755;755;755;755;755;755;755;755;755
;;;18 a 24;6. A 9. FUND;SIM;688;688;688;688;688;688;688;688;688;688;688;688
;;;18 a 24;6. A 9. FUND;NÃO;67;67;67;67;67;67;67;67;67;67;67;67
;;;18 a 24;FUND COMPL;;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775;1775
;;;18 a 24;FUND COMPL;SIM;1598;1598;1598;1598;1598;1598;1598;1598;1598;1598;1598;1598
;;;18 a 24;FUND COMPL;NÃO;177;177;177;177;177;177;177;177;177;177;177;177
;;;18 a 24;MEDIO INCOMP;;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022;3022
;;;18 a 24;MEDIO INCOMP;SIM;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637;2637
;;;18 a 24;MEDIO INCOMP;NÃO;385;385;385;385;385;385;385;385;385;385;385;385
;;;18 a 24;MEDIO COMPL;;28172;28172;28172;28172;28172;28172;28172;28172;28172;28172;28172;28172
;;;18 a 24;MEDIO COMPL;SIM;25401;25401;25401;25401;25401;25401;25401;25401;25401;25401;25401;25401
;;;18 a 24;MEDIO COMPL;NÃO;2771;2771;2771;2771;2771;2771;2771;2771;2771;2771;2771;2771
;;;18 a 24;SUP. INCOMP;;2032;2032;2032;2032;2032;2032;2032;2032;2032;2032;2032;2032
;;;18 a 24;SUP. INCOMP;SIM;1817;1817;1817;1817;1817;1817;1817;1817;1817;1817;1817;1817
;;;18 a 24;SUP. INCOMP;NÃO;215;215;215;215;215;215;215;215;215;215;215;215
;;;18 a 24;SUP. COMP;;1157;1157;1157;1157;1157;1157;1157;1157;1157;1157;1157;1157
;;;18 a 24;SUP. COMP;SIM;1060;1060;1060;1060;1060;1060;1060;1060;1060;1060;1060;1060
;;;18 a 24;SUP. COMP;NÃO;97;97;97;97;97;97;97;97;97;97;97;97
;;;18 a 24;MESTRADO;;3;3;3;3;3;3;3;3;3;3;3;3
;;;18 a 24;MESTRADO;SIM;2;2;2;2;2;2;2;2;2;2;2;2
;;;18 a 24;MESTRADO;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;18 a 24;DOUTORADO;;4;4;4;4;4;4;4;4;4;4;4;4
;;;18 a 24;DOUTORADO;SIM;3;3;3;3;3;3;3;3;3;3;3;3
;;;18 a 24;DOUTORADO;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;25 a 39;;;771;771;771;771;771;771;771;771;771;771;771;771
;;;25 a 39;;SIM;716;716;716;716;716;716;716;716;716;716;716;716
;;;25 a 39;;NÃO;55;55;55;55;55;55;55;55;55;55;55;55
;;;25 a 39;ANALFABETO;;348;348;348;348;348;348;348;348;348;348;348;348
;;;25 a 39;ANALFABETO;SIM;267;267;267;267;267;267;267;267;267;267;267;267
;;;25 a 39;ANALFABETO;NÃO;81;81;81;81;81;81;81;81;81;81;81;81
;;;25 a 39;ATE 5.A INC;;897;897;897;897;897;897;897;897;897;897;897;897
;;;25 a 39;ATE 5.A INC;SIM;846;846;846;846;846;846;846;846;846;846;846;846
;;;25 a 39;ATE 5.A INC;NÃO;51;51;51;51;51;51;51;51;51;51;51;51
;;;25 a 39;5.A CO FUND;;690;690;690;690;690;690;690;690;690;690;690;690
;;;25 a 39;5.A CO FUND;SIM;640;640;640;640;640;640;640;640;640;640;640;640
;;;25 a 39;5.A CO FUND;NÃO;50;50;50;50;50;50;50;50;50;50;50;50
;;;25 a 39;6. A 9. FUND;;2192;2192;2192;2192;2192;2192;2192;2192;2192;2192;2192;2192
;;;25 a 39;6. A 9. FUND;SIM;2031;2031;2031;2031;2031;2031;2031;2031;2031;2031;2031;2031
;;;25 a 39;6. A 9. FUND;NÃO;161;161;161;161;161;161;161;161;161;161;161;161
;;;25 a 39;FUND COMPL;;4757;4757;4757;4757;4757;4757;4757;4757;4757;4757;4757;4757
;;;25 a 39;FUND COMPL;SIM;4316;4316;4316;4316;4316;4316;4316;4316;4316;4316;4316;4316
;;;25 a 39;FUND COMPL;NÃO;441;441;441;441;441;441;441;441;441;441;441;441
;;;25 a 39;MEDIO INCOMP;;4141;4141;4141;4141;4141;4141;4141;4141;4141;4141;4141;4141
;;;25 a 39;MEDIO INCOMP;SIM;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847;3847
;;;25 a 39;MEDIO INCOMP;NÃO;294;294;294;294;294;294;294;294;294;294;294;294
;;;25 a 39;MEDIO COMPL;;52385;52385;52385;52385;52385;52385;52385;52385;52385;52385;52385;52385
;;;25 a 39;MEDIO COMPL;SIM;47485;47485;47485;47485;47485;47485;47485;47485;47485;47485;47485;47485
;;;25 a 39;MEDIO COMPL;NÃO;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900;4900
;;;25 a 39;SUP. INCOMP;;2571;2571;2571;2571;2571;2571;2571;2571;2571;2571;2571;2571
;;;25 a 39;SUP. INCOMP;SIM;2370;2370;2370;2370;2370;2370;2370;2370;2370;2370;2370;2370
;;;25 a 39;SUP. INCOMP;NÃO;201;201;201;201;201;201;201;201;201;201;201;201
;;;25 a 39;SUP. COMP;;9003;9003;9003;9003;9003;9003;9003;9003;9003;9003;9003;9003
;;;25 a 39;SUP. COMP;SIM;8051;8051;8051;8051;8051;8051;8051;8051;8051;8051;8051;8051
;;;25 a 39;SUP. COMP;NÃO;952;952;952;952;952;952;952;952;952;952;952;952
;;;25 a 39;MESTRADO;;173;173;173;173;173;173;173;173;173;173;173;173
;;;25 a 39;MESTRADO;SIM;160;160;160;160;160;160;160;160;160;160;160;160
;;;25 a 39;MESTRADO;NÃO;13;13;13;13;13;13;13;13;13;13;13;13
;;;25 a 39;DOUTORADO;;70;70;70;70;70;70;70;70;70;70;70;70
;;;25 a 39;DOUTORADO;SIM;68;68;68;68;68;68;68;68;68;68;68;68
;;;25 a 39;DOUTORADO;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;;40 a 59;;;675;675;675;675;675;675;675;675;675;675;675;675
;;;40 a 59;;SIM;583;583;583;583;583;583;583;583;583;583;583;583
;;;40 a 59;;NÃO;92;92;92;92;92;92;92;92;92;92;92;92
;;;40 a 59;ANALFABETO;;447;447;447;447;447;447;447;447;447;447;447;447
;;;40 a 59;ANALFABETO;SIM;360;360;360;360;360;360;360;360;360;360;360;360
;;;40 a 59;ANALFABETO;NÃO;87;87;87;87;87;87;87;87;87;87;87;87
;;;40 a 59;ATE 5.A INC;;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439;1439
;;;40 a 59;ATE 5.A INC;SIM;1342;1342;1342;1342;1342;1342;1342;1342;1342;1342;1342;1342
;;;40 a 59;ATE 5.A INC;NÃO;97;97;97;97;97;97;97;97;97;97;97;97
;;;40 a 59;5.A CO FUND;;991;991;991;991;991;991;991;991;991;991;991;991
;;;40 a 59;5.A CO FUND;SIM;922;922;922;922;922;922;922;922;922;922;922;922
;;;40 a 59;5.A CO FUND;NÃO;69;69;69;69;69;69;69;69;69;69;69;69
;;;40 a 59;6. A 9. FUND;;2411;2411;2411;2411;2411;2411;2411;2411;2411;2411;2411;2411
;;;40 a 59;6. A 9. FUND;SIM;2226;2226;2226;2226;2226;2226;2226;2226;2226;2226;2226;2226
;;;40 a 59;6. A 9. FUND;NÃO;185;185;185;185;185;185;185;185;185;185;185;185
;;;40 a 59;FUND COMPL;;4695;4695;4695;4695;4695;4695;4695;4695;4695;4695;4695;4695
;;;40 a 59;FUND COMPL;SIM;4297;4297;4297;4297;4297;4297;4297;4297;4297;4297;4297;4297
;;;40 a 59;FUND COMPL;NÃO;398;398;398;398;398;398;398;398;398;398;398;398
;;;40 a 59;MEDIO INCOMP;;2587;2587;2587;2587;2587;2587;2587;2587;2587;2587;2587;2587
;;;40 a 59;MEDIO INCOMP;SIM;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394;2394
;;;40 a 59;MEDIO INCOMP;NÃO;193;193;193;193;193;193;193;193;193;193;193;193
;;;40 a 59;MEDIO COMPL;;31692;31692;31692;31692;31692;31692;31692;31692;31692;31692;31692;31692
;;;40 a 59;MEDIO COMPL;SIM;28655;28655;28655;28655;28655;28655;28655;28655;28655;28655;28655;28655
;;;40 a 59;MEDIO COMPL;NÃO;3037;3037;3037;3037;3037;3037;3037;3037;3037;3037;3037;3037
;;;40 a 59;SUP. INCOMP;;864;864;864;864;864;864;864;864;864;864;864;864
;;;40 a 59;SUP. INCOMP;SIM;782;782;782;782;782;782;782;782;782;782;782;782
;;;40 a 59;SUP. INCOMP;NÃO;82;82;82;82;82;82;82;82;82;82;82;82
;;;40 a 59;SUP. COMP;;6165;6165;6165;6165;6165;6165;6165;6165;6165;6165;6165;6165
;;;40 a 59;SUP. COMP;SIM;4978;4978;4978;4978;4978;4978;4978;4978;4978;4978;4978;4978
;;;40 a 59;SUP. COMP;NÃO;1187;1187;1187;1187;1187;1187;1187;1187;1187;1187;1187;1187
;;;40 a 59;MESTRADO;;142;142;142;142;142;142;142;142;142;142;142;142
;;;40 a 59;MESTRADO;SIM;122;122;122;122;122;122;122;122;122;122;122;122
;;;40 a 59;MESTRADO;NÃO;20;20;20;20;20;20;20;20;20;20;20;20
;;;40 a 59;DOUTORADO;;66;66;66;66;66;66;66;66;66;66;66;66
;;;40 a 59;DOUTORADO;SIM;62;62;62;62;62;62;62;62;62;62;62;62
;;;40 a 59;DOUTORADO;NÃO;4;4;4;4;4;4;4;4;4;4;4;4
;;;60 ou mais;;;74;74;74;74;74;74;74;74;74;74;74;74
;;;60 ou mais;;SIM;67;67;67;67;67;67;67;67;67;67;67;67
;;;60 ou mais;;NÃO;287;287;287;287;287;287;287;287;287;287;287;287
;;;60 ou mais;ANALFABETO;;97;97;97;97;97;97;97;97;97;97;97;97
;;;60 ou mais;ANALFABETO;SIM;75;75;75;75;75;75;75;75;75;75;75;75
;;;60 ou mais;ANALFABETO;NÃO;22;22;22;22;22;22;22;22;22;22;22;22
;;;60 ou mais;ATE 5.A INC;;360;360;360;360;360;360;360;360;360;360;360;360
;;;60 ou mais;ATE 5.A INC;SIM;344;344;344;344;344;344;344;344;344;344;344;344
;;;60 ou mais;ATE 5.A INC;NÃO;16;16;16;16;16;16;16;16;16;16;16;16
;;;60 ou mais;5.A CO FUND;;273;273;273;273;273;273;273;273;273;273;273;273
;;;60 ou mais;5.A CO FUND;SIM;264;264;264;264;264;264;264;264;264;264;264;264
;;;60 ou mais;5.A CO FUND;NÃO;9;9;9;9;9;9;9;9;9;9;9;9
;;;60 ou mais;6. A 9. FUND;;502;502;502;502;502;502;502;502;502;502;502;502
;;;60 ou mais;6. A 9. FUND;SIM;464;464;464;464;464;464;464;464;464;464;464;464
;;;60 ou mais;6. A 9. FUND;NÃO;38;38;38;38;38;38;38;38;38;38;38;38
;;;60 ou mais;FUND COMPL;;899;899;899;899;899;899;899;899;899;899;899;899
;;;60 ou mais;FUND COMPL;SIM;831;831;831;831;831;831;831;831;831;831;831;831
;;;60 ou mais;FUND COMPL;NÃO;68;68;68;68;68;68;68;68;68;68;68;68
;;;60 ou mais;MEDIO INCOMP;;325;325;325;325;325;325;325;325;325;325;325;325
;;;60 ou mais;MEDIO INCOMP;SIM;304;304;304;304;304;304;304;304;304;304;304;304
;;;60 ou mais;MEDIO INCOMP;NÃO;21;21;21;21;21;21;21;21;21;21;21;21
;;;60 ou mais;MEDIO COMPL;;3375;3375;3375;3375;3375;3375;3375;3375;3375;3375;3375;3375
;;;60 ou mais;MEDIO COMPL;SIM;3116;3116;3116;3116;3116;3116;3116;3116;3116;3116;3116;3116
;;;60 ou mais;MEDIO COMPL;NÃO;259;259;259;259;259;259;259;259;259;259;259;259
;;;60 ou mais;SUP. INCOMP;;78;78;78;78;78;78;78;78;78;78;78;78
;;;60 ou mais;SUP. INCOMP;SIM;72;72;72;72;72;72;72;72;72;72;72;72
;;;60 ou mais;SUP. INCOMP;NÃO;6;6;6;6;6;6;6;6;6;6;6;6
;;;60 ou mais;SUP. COMP;;756;756;756;756;756;756;756;756;756;756;756;756
;;;60 ou mais;SUP. COMP;SIM;632;632;632;632;632;632;632;632;632;632;632;632
;;;60 ou mais;SUP. COMP;NÃO;124;124;124;124;124;124;124;124;124;124;124;124
;;;60 ou mais;MESTRADO;;23;23;23;23;23;23;23;23;23;23;23;23
;;;60 ou mais;MESTRADO;SIM;23;23;23;23;23;23;23;23;23;23;23;23
;;;60 ou mais;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;60 ou mais;DOUTORADO;;10;10;10;10;10;10;10;10;10;10;10;10
;;;60 ou mais;DOUTORADO;SIM;10;10;10;10;10;10;10;10;10;10;10;10
;;;60 ou mais;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;;;;852;852;852;852;852;852;852;852;852;852;852;852
;;Branca;;;SIM;755;755;755;755;755;755;755;755;755;755;755;755
;;Branca;;;NÃO;97;97;97;97;97;97;97;97;97;97;97;97
;;Branca;;ANALFABETO;;367;367;367;367;367;367;367;367;367;367;367;367
;;Branca;;ANALFABETO;SIM;258;258;258;258;258;258;258;258;258;258;258;258
;;Branca;;ANALFABETO;NÃO;109;109;109;109;109;109;109;109;109;109;109;109
;;Branca;;ATE 5.A INC;;772;772;772;772;772;772;772;772;772;772;772;772
;;Branca;;ATE 5.A INC;SIM;717;717;717;717;717;717;717;717;717;717;717;717
;;Branca;;ATE 5.A INC;NÃO;55;55;55;55;55;55;55;55;55;55;55;55
;;Branca;;5.A CO FUND;;758;758;758;758;758;758;758;758;758;758;758;758
;;Branca;;5.A CO FUND;SIM;705;705;705;705;705;705;705;705;705;705;705;705
;;Branca;;5.A CO FUND;NÃO;53;53;53;53;53;53;53;53;53;53;53;53
;;Branca;;6. A 9. FUND;;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602;1602
;;Branca;;6. A 9. FUND;SIM;1693;1693;1693;1693;1693;1693;1693;1693;1693;1693;1693;1693
;;Branca;;6. A 9. FUND;NÃO;160;160;160;160;160;160;160;160;160;160;160;160
;;Branca;;FUND COMPL;;1752;1752;1752;1752;1752;1752;1752;1752;1752;1752;1752;1752
;;Branca;;FUND COMPL;SIM;3822;3822;3822;3822;3822;3822;3822;3822;3822;3822;3822;3822
;;Branca;;FUND COMPL;NÃO;216;216;216;216;216;216;216;216;216;216;216;216
;;Branca;;MEDIO INCOMP;;2454;2454;2454;2454;2454;2454;2454;2454;2454;2454;2454;2454
;;Branca;;MEDIO INCOMP;SIM;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194;2194
;;Branca;;MEDIO INCOMP;NÃO;336;336;336;336;336;336;336;336;336;336;336;336
;;Branca;;MEDIO COMPL;;39388;39388;39388;39388;39388;39388;39388;39388;39388;39388;39388;39388
;;Branca;;MEDIO COMPL;SIM;35878;35878;35878;35878;35878;35878;35878;35878;35878;35878;35878;35878
;;Branca;;MEDIO COMPL;NÃO;3510;3510;3510;3510;3510;3510;3510;3510;3510;3510;3510;3510
;;Branca;;SUP. INCOMP;;2573;2573;2573;2573;2573;2573;2573;2573;2573;2573;2573;2573
;;Branca;;SUP. INCOMP;SIM;2335;2335;2335;2335;2335;2335;2335;2335;2335;2335;2335;2335
;;Branca;;SUP. INCOMP;NÃO;238;238;238;238;238;238;238;238;238;238;238;238
;;Branca;;SUP. COMP;;7653;7653;7653;7653;7653;7653;7653;7653;7653;7653;7653;7653
;;Branca;;SUP. COMP;SIM;6914;6914;6914;6914;6914;6914;6914;6914;6914;6914;6914;6914
;;Branca;;SUP. COMP;NÃO;739;739;739;739;739;739;739;739;739;739;739;739
;;Branca;;MESTRADO;;205;205;205;205;205;205;205;205;205;205;205;205
;;Branca;;MESTRADO;SIM;183;183;183;183;183;183;183;183;183;183;183;183
;;Branca;;MESTRADO;NÃO;22;22;22;22;22;22;22;22;22;22;22;22
;;Branca;;DOUTORADO;;102;102;102;102;102;102;102;102;102;102;102;102
;;Branca;;DOUTORADO;SIM;99;99;99;99;99;99;99;99;99;99;99;99
;;Branca;;DOUTORADO;NÃO;3;3;3;3;3;3;3;3;3;3;3;3
;;Branca;14 a 17;;;769;769;769;769;769;769;769;769;769;769;769;769
;;Branca;14 a 17;;SIM;570;570;570;570;570;570;570;570;570;570;570;570
;;Branca;14 a 17;;NÃO;199;199;199;199;199;199;199;199;199;199;199;199
;;Branca;14 a 17;ANALFABETO;;4;4;4;4;4;4;4;4;4;4;4;4
;;Branca;14 a 17;ANALFABETO;SIM;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;14 a 17;ANALFABETO;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;14 a 17;ATE 5.A INC;;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;14 a 17;ATE 5.A INC;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;ATE 5.A INC;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;14 a 17;5.A CO FUND;;3;3;3;3;3;3;3;3;3;3;3;3
;;Branca;14 a 17;5.A CO FUND;SIM;3;3;3;3;3;3;3;3;3;3;3;3
;;Branca;14 a 17;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;6. A 9. FUND;;31;31;31;31;31;31;31;31;31;31;31;31
;;Branca;14 a 17;6. A 9. FUND;SIM;15;15;15;15;15;15;15;15;15;15;15;15
;;Branca;14 a 17;6. A 9. FUND;NÃO;16;16;16;16;16;16;16;16;16;16;16;16
;;Branca;14 a 17;FUND COMPL;;35;35;35;35;35;35;35;35;35;35;35;35
;;Branca;14 a 17;FUND COMPL;SIM;27;27;27;27;27;27;27;27;27;27;27;27
;;Branca;14 a 17;FUND COMPL;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;Branca;14 a 17;MEDIO INCOMP;;305;305;305;305;305;305;305;305;305;305;305;305
;;Branca;14 a 17;MEDIO INCOMP;SIM;181;181;181;181;181;181;181;181;181;181;181;181
;;Branca;14 a 17;MEDIO INCOMP;NÃO;124;124;124;124;124;124;124;124;124;124;124;124
;;Branca;14 a 17;MEDIO COMPL;;365;365;365;365;365;365;365;365;365;365;365;365
;;Branca;14 a 17;MEDIO COMPL;SIM;325;325;325;325;325;325;325;325;325;325;325;325
;;Branca;14 a 17;MEDIO COMPL;NÃO;40;40;40;40;40;40;40;40;40;40;40;40
;;Branca;14 a 17;SUP. INCOMP;;23;23;23;23;23;23;23;23;23;23;23;23
;;Branca;14 a 17;SUP. INCOMP;SIM;16;16;16;16;16;16;16;16;16;16;16;16
;;Branca;14 a 17;SUP. INCOMP;NÃO;7;7;7;7;7;7;7;7;7;7;7;7
;;Branca;14 a 17;SUP. COMP;;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;14 a 17;SUP. COMP;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;14 a 17;SUP. COMP;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;MESTRADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;MESTRADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;DOUTORADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;DOUTORADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;18 a 24;;;20;20;20;20;20;20;20;20;20;20;20;20
;;Branca;18 a 24;;SIM;19;19;19;19;19;19;19;19;19;19;19;19
;;Branca;18 a 24;;NÃO;1201;1201;1201;1201;1201;1201;1201;1201;1201;1201;1201;1201
;;Branca;18 a 24;ANALFABETO;;68;68;68;68;68;68;68;68;68;68;68;68
