sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;14 A 17;;SIM;11322;11882;11748;11597;10769;10062;10669;11139;11393;12210;11171;13380
;;;14 A 17;;NÃO;13789;14749;11741;10886;10127;10782;14363;13189;11801;12152;10666;24825
;;;14 A 17;ANALFABETO;;40;32;39;29;38;37;40;34;36;48;30;85
;;;14 A 17;ANALFABETO;SIM;26;15;24;23;30;19;19;17;15;28;19;23
;;;14 A 17;ANALFABETO;NÃO;14;17;15;6;8;18;21;17;21;20;11;62
;;;14 A 17;ATE 5.A INC;;68;100;58;72;70;80;76;79;90;74;97;109
;;;14 A 17;ATE 5.A INC;SIM;26;28;22;38;35;42;34;31;48;35;40;36
;;;14 A 17;ATE 5.A INC;NÃO;42;72;36;34;35;38;42;48;42;39;57;73
;;;14 A 17;5.A CO FUND;;73;76;74;73;70;92;79;66;56;85;55;101
;;;14 A 17;5.A CO FUND;SIM;40;39;48;35;33;37;28;40;35;42;26;31
;;;14 A 17;5.A CO FUND;NÃO;33;37;26;38;37;55;51;26;21;43;29;70
;;;14 A 17;6. A 9. FUND;;2474;2593;1885;1759;1519;1557;2201;2200;2010;2317;2030;3810
;;;14 A 17;6. A 9. FUND;SIM;432;452;411;443;375;386;438;430;477;513;494;524
;;;14 A 17;6. A 9. FUND;NÃO;2042;2141;1474;1316;1144;1171;1763;1770;1533;1804;1536;3286
;;;14 A 17;FUND COMPL;;1248;1273;1189;1068;958;1062;1164;1109;1099;1174;1067;2665
;;;14 A 17;FUND COMPL;SIM;572;590;603;546;505;508;504;549;553;630;579;646
;;;14 A 17;FUND COMPL;NÃO;676;683;586;522;453;554;660;560;546;544;488;2019
;;;14 A 17;MEDIO INCOMP;;14687;15455;13399;13004;12245;12535;15629;14927;13985;14597;13018;23519
;;;14 A 17;MEDIO INCOMP;SIM;5434;5529;5368;5412;5094;4876;5293;5580;5718;6196;5625;6735
;;;14 A 17;MEDIO INCOMP;NÃO;9253;9926;8031;7592;7151;7659;10336;9347;8267;8401;7393;16784
;;;14 A 17;MEDIO COMPL;;6356;6874;6600;6256;5805;5300;5663;5728;5764;5903;5429;7744
;;;14 A 17;MEDIO COMPL;SIM;4717;5118;5137;4977;4585;4085;4257;4393;4455;4671;4325;5301
;;;14 A 17;MEDIO COMPL;NÃO;1639;1756;1463;1279;1220;1215;1406;1335;1309;1232;1104;2443
;;;14 A 17;SUP. INCOMP;;138;210;221;206;174;165;145;167;145;143;96;139
;;;14 A 17;SUP. INCOMP;SIM;62;101;125;115;100;96;80;93;84;81;55;73
;;;14 A 17;SUP. INCOMP;NÃO;76;109;96;91;74;69;65;74;61;62;41;66
;;;14 A 17;SUP. COMP;;26;17;23;15;16;15;33;12;8;19;12;32
;;;14 A 17;SUP. COMP;SIM;13;10;9;8;11;12;15;6;8;13;7;11
;;;14 A 17;SUP. COMP;NÃO;13;7;14;7;5;3;18;6;0;6;5;21
;;;14 A 17;MESTRADO;;0;0;0;0;1;1;2;5;1;1;0;1
;;;14 A 17;MESTRADO;SIM;0;0;0;0;1;1;1;0;0;1;0;0
;;;14 A 17;MESTRADO;NÃO;0;0;0;0;0;0;1;5;1;0;0;1
;;;14 A 17;DOUTORADO;;1;0;1;1;0;0;0;1;0;0;1;0
;;;14 A 17;DOUTORADO;SIM;0;0;1;0;0;0;0;0;0;0;1;0
;;;14 A 17;DOUTORADO;NÃO;1;0;0;1;0;0;0;1;0;0;0;0
;;;18 A 24;;;499354;499846;515467;518760;504807;476100;511758;510824;496307;536717;472249;520206
;;;18 A 24;;SIM;431990;436792;449938;455367;442014;412636;442170;444071;432201;468960;410002;427670
;;;18 A 24;;NÃO;67364;63054;65529;63393;62793;63464;69588;66753;64106;67757;62247;92536
;;;18 A 24;ANALFABETO;;1183;1360;1371;1300;1337;1340;1391;1445;1441;1698;1410;1506
;;;18 A 24;ANALFABETO;SIM;1084;1213;1262;1177;1197;1190;1215;1240;1274;1481;1216;1223
;;;18 A 24;ANALFABETO;NÃO;99;147;109;123;140;150;176;205;167;217;194;283
;;;18 A 24;ATE 5.A INC;;3019;3470;4228;3729;3231;3151;3335;3416;3289;3433;3750;3832
;;;18 A 24;ATE 5.A INC;SIM;2844;3265;3959;3524;3039;2943;3113;3186;3093;3237;3519;3246
;;;18 A 24;ATE 5.A INC;NÃO;175;205;269;205;192;208;222;230;196;196;231;586
;;;18 A 24;5.A CO FUND;;3055;3652;3554;3309;3276;2923;2957;3056;2896;3010;2899;3826
;;;18 A 24;5.A CO FUND;SIM;2892;3515;3386;3160;3048;2721;2797;2894;2766;2873;2747;3614
;;;18 A 24;5.A CO FUND;NÃO;163;137;168;149;228;202;160;162;130;137;152;212
;;;18 A 24;6. A 9. FUND;;13343;13648;15600;14993;14431;12823;13463;13504;13228;14378;13160;14102
;;;18 A 24;6. A 9. FUND;SIM;12499;12692;14482;13946;13490;11961;12567;12657;12466;13559;12337;12848
;;;18 A 24;6. A 9. FUND;NÃO;844;956;1118;1047;941;862;896;847;762;819;823;1254
;;;18 A 24;FUND COMPL;;24936;25397;26971;27141;26542;24008;25799;25688;24944;27629;25335;27290
;;;18 A 24;FUND COMPL;SIM;23008;23298;24701;25104;24150;21976;23416;23464;22894;25123;23035;23821
;;;18 A 24;FUND COMPL;NÃO;1928;2099;2270;2037;2392;2032;2383;2224;2050;2506;2300;3469
;;;18 A 24;MEDIO INCOMP;;51589;51762;51225;51509;50384;48099;52423;52907;52459;56663;51410;58846
;;;18 A 24;MEDIO INCOMP;SIM;41943;42205;42567;43187;42066;39351;42246;43296;43180;46722;42033;43175
;;;18 A 24;MEDIO INCOMP;NÃO;9646;9557;8658;8322;8318;8748;10177;9611;9279;9941;9377;15671
;;;18 A 24;MEDIO COMPL;;359877;355763;365761;369831;360894;341474;367093;365061;354565;384096;336051;368781
;;;18 A 24;MEDIO COMPL;SIM;310560;310780;318304;323802;315498;295299;317011;317324;308523;335621;291656;304272
;;;18 A 24;MEDIO COMPL;NÃO;49317;44983;47457;46029;45396;46175;50082;47737;46042;48475;44395;64509
;;;18 A 24;SUP. INCOMP;;28036;29672;30991;31395;29926;28310;30432;31231;29845;31438;26165;27788
;;;18 A 24;SUP. INCOMP;SIM;24002;25679;26640;27034;25772;24221;25942;26547;25397;27101;22390;22920
;;;18 A 24;SUP. INCOMP;NÃO;4034;3993;4351;4361;4154;4089;4490;4684;4448;4337;3775;4868
;;;18 A 24;SUP. COMP;;14230;14549;15699;15458;14709;13891;14780;13926;13067;13808;11601;13705
;;;18 A 24;SUP. COMP;SIM;13085;13605;14580;14352;13687;12910;13791;12910;12075;12718;10638;12077
;;;18 A 24;SUP. COMP;NÃO;1145;944;1119;1106;1022;981;989;1016;992;1090;963;1628
;;;18 A 24;MESTRADO;;46;50;43;63;50;50;55;58;42;38;37;43
;;;18 A 24;MESTRADO;SIM;39;43;39;57;46;44;48;54;37;32;37;38
;;;18 A 24;MESTRADO;NÃO;7;7;4;6;4;6;7;4;5;6;0;5
;;;18 A 24;DOUTORADO;;31;32;24;32;27;31;30;34;30;42;39;39
;;;18 A 24;DOUTORADO;SIM;25;28;18;24;21;20;24;26;27;36;28;28
;;;18 A 24;DOUTORADO;NÃO;6;4;6;8;6;11;6;8;3;6;11;11
;;;25 A 39;;;861439;886030;923524;928110;914179;857518;913687;913680;875991;956747;851957;907821
;;;25 A 39;;SIM;807263;836220;868416;875764;860738;807596;859878;860294;822784;897965;795650;827718
;;;25 A 39;;NÃO;54176;49810;55108;52346;53441;49922;53809;53386;53207;58782;56307;80103
;;;25 A 39;ANALFABETO;;2496;3086;3423;3063;3036;2720;2872;2935;2919;3401;2992;3091
;;;25 A 39;ANALFABETO;SIM;2350;2949;3278;2888;2848;2557;2664;2748;2698;3149;2753;2741
;;;25 A 39;ANALFABETO;NÃO;146;137;145;175;188;163;208;187;221;252;239;350
;;;25 A 39;ATE 5.A INC;;11233;12490;15001;13474;12573;11393;12030;12094;11429;12967;12377;12686
;;;25 A 39;ATE 5.A INC;SIM;10842;12030;14386;12954;12012;10943;11541;11558;10938;12445;11890;11650
;;;25 A 39;ATE 5.A INC;NÃO;391;460;615;520;561;450;489;536;491;522;487;1036
;;;25 A 39;5.A CO FUND;;9776;10726;10988;10232;10081;9138;9543;9698;9247;9968;9387;11024
;;;25 A 39;5.A CO FUND;SIM;9451;10380;10618;9895;9666;8778;9194;9367;8926;9680;9065;10564
;;;25 A 39;5.A CO FUND;NÃO;325;346;370;337;415;360;349;331;321;288;322;460
;;;25 A 39;6. A 9. FUND;;32187;33912;37202;37215;36689;32992;34445;34895;33397;36502;33812;34363
;;;25 A 39;6. A 9. FUND;SIM;30836;32443;35570;35612;35014;31570;33069;33607;32157;35064;32466;32510
;;;25 A 39;6. A 9. FUND;NÃO;1351;1469;1632;1603;1675;1422;1376;1288;1240;1438;1346;1853
;;;25 A 39;FUND COMPL;;55667;57659;60497;60769;60862;56018;58770;59063;56753;61623;56668;58274
;;;25 A 39;FUND COMPL;SIM;52796;54705;57234;57650;57166;53267;55595;56011;53762;58041;53424;54068
;;;25 A 39;FUND COMPL;NÃO;2871;2954;3263;3119;3696;2751;3175;3052;2991;3582;3244;4206
;;;25 A 39;MEDIO INCOMP;;48154;50131;52061;53160;52746;48662;52138;52797;51080;55847;49785;50683
;;;25 A 39;MEDIO INCOMP;SIM;45795;47803;49575;50713;50162;46339;49622;50279;48581;53220;47222;47089
;;;25 A 39;MEDIO INCOMP;NÃO;2359;2328;2486;2447;2584;2323;2516;2518;2499;2627;2563;3594
;;;25 A 39;MEDIO COMPL;;557277;565102;590270;595873;587852;552416;589541;590694;569437;625490;555644;576334
;;;25 A 39;MEDIO COMPL;SIM;516976;528524;549500;557705;549212;515221;549440;550965;530050;581370;513154;518884
;;;25 A 39;MEDIO COMPL;NÃO;40301;36578;40770;38168;38640;37195;40101;39729;39387;44120;42490;57450
;;;25 A 39;SUP. INCOMP;;35376;37125;38524;38988;37767;35652;37911;38715;36923;40112;34007;36317
;;;25 A 39;SUP. INCOMP;SIM;33631;35588;36910;37460;36286;34290;36389;37078;35223;38463;32337;33477
;;;25 A 39;SUP. INCOMP;NÃO;1745;1537;1614;1528;1481;1362;1522;1637;1700;1649;1670;2840
;;;25 A 39;SUP. COMP;;106918;101122;113303;113276;110614;105937;113142;97911;91999;97417;85429;107919
;;;25 A 39;SUP. COMP;SIM;102303;97554;109156;108891;106483;102103;109155;94248;88077;93589;81799;100387
;;;25 A 39;SUP. COMP;NÃO;4615;3568;4147;4385;4131;3834;3987;3663;3922;3828;3630;7532
;;;25 A 39;MESTRADO;;1725;2182;1735;1590;1510;1946;2439;1990;1424;1416;1297;2868
;;;25 A 39;MESTRADO;SIM;1666;2131;1683;1537;1450;1902;2379;1939;1377;1369;1266;2773
;;;25 A 39;MESTRADO;NÃO;59;51;52;53;60;44;60;51;47;47;31;95
;;;25 A 39;DOUTORADO;;606;703;520;470;449;644;856;715;448;488;428;1029
;;;25 A 39;DOUTORADO;SIM;594;684;506;459;439;626;830;692;434;454;411;996
;;;25 A 39;DOUTORADO;NÃO;12;19;14;11;10;18;26;23;14;34;17;33
;;;40 A 59;;;462428;488160;511984;508594;501670;474589;504870;505648;480215;526828;482140;540823
;;;40 A 59;;SIM;437672;463077;484724;483181;476057;451284;478677;479490;454572;498249;453862;501220
;;;40 A 59;;NÃO;24756;25083;27260;25413;25613;23305;26193;26158;25643;28579;28278;39603
;;;40 A 59;ANALFABETO;;3267;4135;5532;4530;3712;3334;3403;3502;3417;3802;3676;3693
;;;40 A 59;ANALFABETO;SIM;3137;3971;5335;4321;3504;3171;3220;3343;3246;3630;3515;3394
;;;40 A 59;ANALFABETO;NÃO;130;164;197;209;208;163;183;159;171;172;161;299
;;;40 A 59;ATE 5.A INC;;16441;18548;21408;19497;18208;16520;17657;17841;17119;19172;18267;18877
;;;40 A 59;ATE 5.A INC;SIM;15969;17888;20744;18818;17413;15937;16996;17178;16472;18524;17659;17930
;;;40 A 59;ATE 5.A INC;NÃO;472;660;664;679;795;583;661;663;647;648;608;947
;;;40 A 59;5.A CO FUND;;11448;13148;13166;12202;12237;11016;11685;11840;10960;11974;11619;13107
;;;40 A 59;5.A CO FUND;SIM;11085;12748;12776;11844;11798;10683;11311;11460;10635;11641;11211;12587
;;;40 A 59;5.A CO FUND;NÃO;363;400;390;358;439;333;374;380;325;333;408;520
;;;40 A 59;6. A 9. FUND;;26336;28722;30834;30080;30500;28355;29370;29739;28153;30380;28538;30183
;;;40 A 59;6. A 9. FUND;SIM;25429;27618;29724;28955;29304;27382;28369;28752;27173;29423;27582;28787
;;;40 A 59;6. A 9. FUND;NÃO;907;1104;1110;1125;1196;973;1001;987;980;957;956;1396
;;;40 A 59;FUND COMPL;;44480;47221;48928;47844;48291;44900;47907;47788;45013;50129;46025;49700
;;;40 A 59;FUND COMPL;SIM;42631;45117;46582;45791;46076;43194;45713;45589;43064;47710;43974;47030
;;;40 A 59;FUND COMPL;NÃO;1849;2104;2346;2053;2215;1706;2194;2199;1949;2419;2051;2670
;;;40 A 59;MEDIO INCOMP;;23513;25605;26480;26343;26538;24573;26234;26448;25230;27828;25580;26949
;;;40 A 59;MEDIO INCOMP;SIM;22521;24522;25400;25341;25392;23623;25119;25343;24194;26681;24472;25397
;;;40 A 59;MEDIO INCOMP;NÃO;992;1083;1080;1002;1146;950;1115;1105;1036;1147;1108;1552
;;;40 A 59;MEDIO COMPL;;271990;282331;297708;298746;295333;280044;297832;298910;286319;315320;285929;306379
;;;40 A 59;MEDIO COMPL;SIM;254892;265260;278965;281447;278284;263962;279875;280844;268519;295103;265604;280772
;;;40 A 59;MEDIO COMPL;NÃO;17098;17071;18743;17299;17049;16082;17957;18066;17800;20217;20325;25607
;;;40 A 59;SUP. INCOMP;;9485;9970;10276;10601;10437;9614;10453;10429;10163;11135;9740;10992
;;;40 A 59;SUP. INCOMP;SIM;9035;9551;9790;10124;9975;9196;9989;9976;9727;10624;9208;10081
;;;40 A 59;SUP. INCOMP;NÃO;450;419;486;477;462;418;464;453;436;511;532;911
;;;40 A 59;SUP. COMP;;53747;48071;56061;57320;54966;54060;57530;48309;44753;47597;43618;65220
;;;40 A 59;SUP. COMP;SIM;51292;46302;53868;55149;52912;52008;55349;46462;42772;45726;41773;60206
;;;40 A 59;SUP. COMP;NÃO;2455;1769;2193;2171;2054;2052;2181;1847;1981;1871;1845;5014
;;;40 A 59;MESTRADO;;1188;1534;1104;1015;1005;1508;1913;1471;932;1025;886;2742
;;;40 A 59;MESTRADO;SIM;1162;1505;1066;988;969;1474;1871;1442;903;984;864;2692
;;;40 A 59;MESTRADO;NÃO;26;29;38;27;36;34;42;29;29;41;22;50
;;;40 A 59;DOUTORADO;;510;675;487;416;443;665;886;590;394;433;406;1411
;;;40 A 59;DOUTORADO;SIM;498;661;474;403;430;654;865;582;388;426;387;1380
;;;40 A 59;DOUTORADO;NÃO;12;14;13;13;13;11;21;8;6;7;19;31
;;;60 OU MAIS;;;38810;41962;43397;42241;42761;40675;44039;44219;40182;45386;43346;52312
;;;60 OU MAIS;;SIM;37528;40165;41550;40649;41166;39236;42358;42358;38592;43034;41467;49526
;;;60 OU MAIS;;NÃO;1282;1797;1847;1592;1595;1439;1681;1861;1590;2352;1879;2786
;;;60 OU MAIS;ANALFABETO;;395;498;582;538;518;501;500;512;485;531;520;550
;;;60 OU MAIS;ANALFABETO;SIM;383;482;567;523;499;485;479;492;471;520;506;528
;;;60 OU MAIS;ANALFABETO;NÃO;12;16;15;15;19;16;21;20;14;11;14;22
;;;60 OU MAIS;ATE 5.A INC;;2597;2911;3043;2799;2871;2568;2950;3045;2779;3211;2930;3196
;;;60 OU MAIS;ATE 5.A INC;SIM;2538;2845;2964;2727;2786;2492;2864;2928;2700;3125;2852;3110
;;;60 OU MAIS;ATE 5.A INC;NÃO;59;66;79;72;85;76;86;117;79;86;78;86
;;;60 OU MAIS;5.A CO FUND;;1986;2170;2234;2011;2157;2084;2267;2147;2064;2233;2039;2479
;;;60 OU MAIS;5.A CO FUND;SIM;1938;2138;2179;1954;2110;2023;2212;2094;2025;2170;1993;2416
;;;60 OU MAIS;5.A CO FUND;NÃO;48;32;55;57;47;61;55;53;39;63;46;63
;;;60 OU MAIS;6. A 9. FUND;;3330;3443;3581;3572;3633;3492;3714;3773;3448;3689;3733;4281
;;;60 OU MAIS;6. A 9. FUND;SIM;3267;3342;3479;3484;3522;3411;3612;3689;3342;3588;3615;4126
;;;60 OU MAIS;6. A 9. FUND;NÃO;63;101;102;88;111;81;102;84;106;101;118;155
;;;60 OU MAIS;FUND COMPL;;5529;5818;6023;6022;5967;5767;6166;6149;5641;6349;6297;7037
;;;60 OU MAIS;FUND COMPL;SIM;5368;5610;5742;5811;5786;5594;5919;5903;5413;6057;6086;6757
;;;60 OU MAIS;FUND COMPL;NÃO;161;208;281;211;181;173;247;246;228;292;211;280
;;;60 OU MAIS;MEDIO INCOMP;;2096;2328;2439;2325;2406;2195;2345;2407;2143;2631;2489;2755
;;;60 OU MAIS;MEDIO INCOMP;SIM;2036;2232;2351;2261;2301;2128;2258;2332;2049;2552;2389;2622
;;;60 OU MAIS;MEDIO INCOMP;NÃO;60;96;88;64;105;67;87;75;94;79;100;133
;;;60 OU MAIS;MEDIO COMPL;;18616;20078;20950;20509;20896;19517;20772;20928;19649;22631;21157;24230
;;;60 OU MAIS;MEDIO COMPL;SIM;17873;18925;19848;19537;19988;18700;19817;19783;18741;21053;19984;22607
;;;60 OU MAIS;MEDIO COMPL;NÃO;743;1153;1102;972;908;817;955;1145;908;1578;1173;1623
;;;60 OU MAIS;SUP. INCOMP;;470;521;519;548;529;491;530;525;446;527;487;622
;;;60 OU MAIS;SUP. INCOMP;SIM;455;507;498;536;515;477;526;500;440;512;470;587
;;;60 OU MAIS;SUP. INCOMP;NÃO;15;14;21;12;14;14;4;25;6;15;17;35
;;;60 OU MAIS;SUP. COMP;;3549;3425;3820;3742;3637;3716;4371;3638;2961;3030;3098;5550
;;;60 OU MAIS;SUP. COMP;SIM;3431;3327;3724;3645;3517;3586;4253;3550;2861;2925;2989;5212
;;;60 OU MAIS;SUP. COMP;NÃO;118;98;96;97;120;130;118;88;100;105;109;338
;;;60 OU MAIS;MESTRADO;;150;185;138;106;89;215;258;197;126;120;97;369
;;;60 OU MAIS;MESTRADO;SIM;147;183;132;103;86;214;256;197;124;118;94;361
;;;60 OU MAIS;MESTRADO;NÃO;3;2;6;3;3;1;2;0;2;2;3;8
;;;60 OU MAIS;DOUTORADO;;92;124;68;69;58;129;166;102;36;66;49;283
;;;60 OU MAIS;DOUTORADO;SIM;92;123;66;68;56;126;162;102;36;65;49;279
;;;60 OU MAIS;DOUTORADO;NÃO;0;1;2;1;2;3;4;0;0;1;0;4
;;BRANCA;;;;692735;733702;759624;779648;767663;739913;791543;789037;761288;828167;733881;813825
;;BRANCA;;;SIM;633640;675861;698039;721631;709623;681828;725556;726244;699925;761211;672752;713054
;;BRANCA;;;NÃO;59095;57841;61585;58017;58040;58085;65987;62793;61363;66956;61129;100771
;;BRANCA;;ANALFABETO;;2153;2597;2661;2702;2813;2843;3018;3032;3136;3532;3017;3080
;;BRANCA;;ANALFABETO;SIM;1974;2392;2490;2508;2561;2589;2679;2734;2797;3115;2643;2551
;;BRANCA;;ANALFABETO;NÃO;179;205;171;194;252;254;339;298;339;417;374;529
;;BRANCA;;ATE 5.A INC;;9457;10504;10313;10105;10222;9870;10562;10410;9819;11301;10487;10487
;;BRANCA;;ATE 5.A INC;SIM;9151;10151;9936;9705;9785;9502;10075;9938;9372;10864;10049;9921
;;BRANCA;;ATE 5.A INC;NÃO;306;353;377;400;437;368;487;472;447;437;438;566
;;BRANCA;;5.A CO FUND;;9529;10278;9922;9662;9545;8926;9461;9436;8781;9458;8920;10538
;;BRANCA;;5.A CO FUND;SIM;9249;9991;9582;9379;9202;8617;9119;9098;8496;9174;8627;10117
;;BRANCA;;5.A CO FUND;NÃO;280;287;340;283;343;309;342;338;285;284;293;421
;;BRANCA;;6. A 9. FUND;;25244;26993;27936;28045;27818;26216;27728;27490;26127;28348;26136;27954
;;BRANCA;;6. A 9. FUND;SIM;23654;25131;26139;26380;26208;24646;25756;25695;24420;26408;24401;24590
;;BRANCA;;6. A 9. FUND;NÃO;1590;1862;1797;1665;1610;1570;1972;1795;1707;1940;1735;3364
;;BRANCA;;FUND COMPL;;49404;52602;53755;54677;54051;51208;53777;54034;51707;57263;51020;53302
;;BRANCA;;FUND COMPL;SIM;46530;49349;50150;51547;50952;48383;50247;50657;48409;53107;47761;48298
;;BRANCA;;FUND COMPL;NÃO;2874;3253;3605;3130;3099;2825;3530;3377;3298;4156;3259;5004
;;BRANCA;;MEDIO INCOMP;;50067;53345;52651;53966;52935;51258;56690;55692;54188;59466;52841;63617
;;BRANCA;;MEDIO INCOMP;SIM;42291;44927;45069;46675;45572;43528;46721;46775;45856;50539;44761;45453
;;BRANCA;;MEDIO INCOMP;NÃO;7776;8418;7582;7291;7363;7730;9969;8917;8332;8927;8080;18164
;;BRANCA;;MEDIO COMPL;;418416;437112;459333;473411;467541;449422;480923;481515;470531;513785;453700;478468
;;BRANCA;;MEDIO COMPL;SIM;379272;400025;418751;435681;429549;410999;438533;441038;430900;470232;413382;419375
;;BRANCA;;MEDIO COMPL;NÃO;39144;37087;40582;37730;37992;38423;42390;40477;39631;43553;40318;59093
;;BRANCA;;SUP. INCOMP;;35182;38171;40256;41555;40126;38300;40703;41829;39867;42662;36210;38852
;;BRANCA;;SUP. INCOMP;SIM;32272;35277;37073;38344;37078;35311;37539;38439;36574;39380;33243;34417
;;BRANCA;;SUP. INCOMP;NÃO;2910;2894;3183;3211;3048;2989;3164;3390;3293;3282;2967;4435
;;BRANCA;;SUP. COMP;;90637;86155;100301;103097;100225;98367;104314;88361;82732;87258;77648;105276
;;BRANCA;;SUP. COMP;SIM;86670;83119;96433;99061;96412;94835;100635;85079;79173;83789;74326;97086
;;BRANCA;;SUP. COMP;NÃO;3967;3036;3868;4036;3813;3532;3679;3282;3559;3469;3322;8190
;;BRANCA;;MESTRADO;;1889;2471;1809;1765;1742;2487;3049;2386;1632;1701;1500;4058
;;BRANCA;;MESTRADO;SIM;1837;2427;1750;1711;1676;2434;2975;2335;1584;1648;1470;3950
;;BRANCA;;MESTRADO;NÃO;52;44;59;54;66;53;74;51;48;53;30;108
;;BRANCA;;DOUTORADO;;757;1001;687;663;645;1016;1318;961;597;659;615;1944
;;BRANCA;;DOUTORADO;SIM;740;979;666;640;628;984;1277;941;581;632;595;1887
;;BRANCA;;DOUTORADO;NÃO;17;22;21;23;17;32;41;20;16;27;20;57
;;BRANCA;14 A 17;;;10145;11466;10496;10169;9601;9749;11650;11177;10696;11487;10356;20758
;;BRANCA;14 A 17;;SIM;5035;5607;5575;5593;5202;5053;5238;5557;5739;6149;5655;6772
;;BRANCA;14 A 17;;NÃO;5110;5859;4921;4576;4399;4696;6412;5620;4957;5338;4701;13986
;;BRANCA;14 A 17;ANALFABETO;;16;20;24;17;18;20;24;17;23;27;14;45
;;BRANCA;14 A 17;ANALFABETO;SIM;10;8;13;13;15;13;12;9;12;19;12;16
;;BRANCA;14 A 17;ANALFABETO;NÃO;6;12;11;4;3;7;12;8;11;8;2;29
;;BRANCA;14 A 17;ATE 5.A INC;;18;24;21;34;33;28;19;37;42;28;49;48
;;BRANCA;14 A 17;ATE 5.A INC;SIM;11;9;11;18;17;20;9;12;22;13;23;20
;;BRANCA;14 A 17;ATE 5.A INC;NÃO;7;15;10;16;16;8;10;25;20;15;26;28
;;BRANCA;14 A 17;5.A CO FUND;;22;28;27;26;28;26;27;31;25;45;23;47
