sigla_uf;sexo;raca;faixa_etaria;grau_instrucao;clt;janeiro;fevereiro;março;abril;maio;junho;julho;agosto;setembro;outubro;novembro;dezembro
;;;;SUP. INCOMP;NÃO;40;40;40;40;40;40;40;40;40;40;40;40
;;;;SUP. COMP;;2308;2308;2308;2308;2308;2308;2308;2308;2308;2308;2308;2308
;;;;SUP. COMP;SIM;2190;2190;2190;2190;2190;2190;2190;2190;2190;2190;2190;2190
;;;;SUP. COMP;NÃO;118;118;118;118;118;118;118;118;118;118;118;118
;;;;MESTRADO;;33;33;33;33;33;33;33;33;33;33;33;33
;;;;MESTRADO;SIM;33;33;33;33;33;33;33;33;33;33;33;33
;;;;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;;DOUTORADO;;14;14;14;14;14;14;14;14;14;14;14;14
;;;;DOUTORADO;SIM;14;14;14;14;14;14;14;14;14;14;14;14
;;;;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;;;111;111;111;111;111;111;111;111;111;111;111;111
;;;14 a 17;;SIM;71;71;71;71;71;71;71;71;71;71;71;71
;;;14 a 17;;NÃO;40;40;40;40;40;40;40;40;40;40;40;40
;;;14 a 17;ANALFABETO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ANALFABETO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ANALFABETO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ATE 5.A INC;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ATE 5.A INC;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;ATE 5.A INC;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;5.A CO FUND;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;5.A CO FUND;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;6. A 9. FUND;;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;6. A 9. FUND;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;6. A 9. FUND;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;FUND COMPL;;10;10;10;10;10;10;10;10;10;10;10;10
;;;14 a 17;FUND COMPL;SIM;5;5;5;5;5;5;5;5;5;5;5;5
;;;14 a 17;FUND COMPL;NÃO;5;5;5;5;5;5;5;5;5;5;5;5
;;;14 a 17;MEDIO INCOMP;;50;50;50;50;50;50;50;50;50;50;50;50
;;;14 a 17;MEDIO INCOMP;SIM;30;30;30;30;30;30;30;30;30;30;30;30
;;;14 a 17;MEDIO INCOMP;NÃO;20;20;20;20;20;20;20;20;20;20;20;20
;;;14 a 17;MEDIO COMPL;;44;44;44;44;44;44;44;44;44;44;44;44
;;;14 a 17;MEDIO COMPL;SIM;34;34;34;34;34;34;34;34;34;34;34;34
;;;14 a 17;MEDIO COMPL;NÃO;10;10;10;10;10;10;10;10;10;10;10;10
;;;14 a 17;SUP. INCOMP;;5;5;5;5;5;5;5;5;5;5;5;5
;;;14 a 17;SUP. INCOMP;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;SUP. INCOMP;NÃO;4;4;4;4;4;4;4;4;4;4;4;4
;;;14 a 17;SUP. COMP;;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;SUP. COMP;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;;14 a 17;SUP. COMP;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;MESTRADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;MESTRADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;14 a 17;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;;;1612;1612;1612;1612;1612;1612;1612;1612;1612;1612;1612;1612
;;;18 a 24;;SIM;1493;1493;1493;1493;1493;1493;1493;1493;1493;1493;1493;1493
;;;18 a 24;;NÃO;280;280;280;280;280;280;280;280;280;280;280;280
;;;18 a 24;ANALFABETO;;11;11;11;11;11;11;11;11;11;11;11;11
;;;18 a 24;ANALFABETO;SIM;11;11;11;11;11;11;11;11;11;11;11;11
;;;18 a 24;ANALFABETO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;ATE 5.A INC;;23;23;23;23;23;23;23;23;23;23;23;23
;;;18 a 24;ATE 5.A INC;SIM;22;22;22;22;22;22;22;22;22;22;22;22
;;;18 a 24;ATE 5.A INC;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;18 a 24;5.A CO FUND;;16;16;16;16;16;16;16;16;16;16;16;16
;;;18 a 24;5.A CO FUND;SIM;16;16;16;16;16;16;16;16;16;16;16;16
;;;18 a 24;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;6. A 9. FUND;;87;87;87;87;87;87;87;87;87;87;87;87
;;;18 a 24;6. A 9. FUND;SIM;79;79;79;79;79;79;79;79;79;79;79;79
;;;18 a 24;6. A 9. FUND;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;;18 a 24;FUND COMPL;;197;197;197;197;197;197;197;197;197;197;197;197
;;;18 a 24;FUND COMPL;SIM;191;191;191;191;191;191;191;191;191;191;191;191
;;;18 a 24;FUND COMPL;NÃO;6;6;6;6;6;6;6;6;6;6;6;6
;;;18 a 24;MEDIO INCOMP;;319;319;319;319;319;319;319;319;319;319;319;319
;;;18 a 24;MEDIO INCOMP;SIM;292;292;292;292;292;292;292;292;292;292;292;292
;;;18 a 24;MEDIO INCOMP;NÃO;27;27;27;27;27;27;27;27;27;27;27;27
;;;18 a 24;MEDIO COMPL;;3248;3248;3248;3248;3248;3248;3248;3248;3248;3248;3248;3248
;;;18 a 24;MEDIO COMPL;SIM;3038;3038;3038;3038;3038;3038;3038;3038;3038;3038;3038;3038
;;;18 a 24;MEDIO COMPL;NÃO;210;210;210;210;210;210;210;210;210;210;210;210
;;;18 a 24;SUP. INCOMP;;203;203;203;203;203;203;203;203;203;203;203;203
;;;18 a 24;SUP. INCOMP;SIM;188;188;188;188;188;188;188;188;188;188;188;188
;;;18 a 24;SUP. INCOMP;NÃO;15;15;15;15;15;15;15;15;15;15;15;15
;;;18 a 24;SUP. COMP;;119;119;119;119;119;119;119;119;119;119;119;119
;;;18 a 24;SUP. COMP;SIM;106;106;106;106;106;106;106;106;106;106;106;106
;;;18 a 24;SUP. COMP;NÃO;13;13;13;13;13;13;13;13;13;13;13;13
;;;18 a 24;MESTRADO;;1;1;1;1;1;1;1;1;1;1;1;1
;;;18 a 24;MESTRADO;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;;18 a 24;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;DOUTORADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;DOUTORADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;;18 a 24;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;25 a 39;;;120;120;120;120;120;120;120;120;120;120;120;120
;;;25 a 39;;SIM;118;118;118;118;118;118;118;118;118;118;118;118
;;;25 a 39;;NÃO;335;335;335;335;335;335;335;335;335;335;335;335
;;;25 a 39;ANALFABETO;;27;27;27;27;27;27;27;27;27;27;27;27
;;;25 a 39;ANALFABETO;SIM;24;24;24;24;24;24;24;24;24;24;24;24
;;;25 a 39;ANALFABETO;NÃO;3;3;3;3;3;3;3;3;3;3;3;3
;;;25 a 39;ATE 5.A INC;;89;89;89;89;89;89;89;89;89;89;89;89
;;;25 a 39;ATE 5.A INC;SIM;88;88;88;88;88;88;88;88;88;88;88;88
;;;25 a 39;ATE 5.A INC;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;25 a 39;5.A CO FUND;;90;90;90;90;90;90;90;90;90;90;90;90
;;;25 a 39;5.A CO FUND;SIM;88;88;88;88;88;88;88;88;88;88;88;88
;;;25 a 39;5.A CO FUND;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;;25 a 39;6. A 9. FUND;;251;251;251;251;251;251;251;251;251;251;251;251
;;;25 a 39;6. A 9. FUND;SIM;243;243;243;243;243;243;243;243;243;243;243;243
;;;25 a 39;6. A 9. FUND;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;;25 a 39;FUND COMPL;;625;625;625;625;625;625;625;625;625;625;625;625
;;;25 a 39;FUND COMPL;SIM;589;589;589;589;589;589;589;589;589;589;589;589
;;;25 a 39;FUND COMPL;NÃO;36;36;36;36;36;36;36;36;36;36;36;36
;;;25 a 39;MEDIO INCOMP;;474;474;474;474;474;474;474;474;474;474;474;474
;;;25 a 39;MEDIO INCOMP;SIM;449;449;449;449;449;449;449;449;449;449;449;449
;;;25 a 39;MEDIO INCOMP;NÃO;25;25;25;25;25;25;25;25;25;25;25;25
;;;25 a 39;MEDIO COMPL;;7269;7269;7269;7269;7269;7269;7269;7269;7269;7269;7269;7269
;;;25 a 39;MEDIO COMPL;SIM;6917;6917;6917;6917;6917;6917;6917;6917;6917;6917;6917;6917
;;;25 a 39;MEDIO COMPL;NÃO;352;352;352;352;352;352;352;352;352;352;352;352
;;;25 a 39;SUP. INCOMP;;380;380;380;380;380;380;380;380;380;380;380;380
;;;25 a 39;SUP. INCOMP;SIM;363;363;363;363;363;363;363;363;363;363;363;363
;;;25 a 39;SUP. INCOMP;NÃO;17;17;17;17;17;17;17;17;17;17;17;17
;;;25 a 39;SUP. COMP;;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351;1351
;;;25 a 39;SUP. COMP;SIM;1286;1286;1286;1286;1286;1286;1286;1286;1286;1286;1286;1286
;;;25 a 39;SUP. COMP;NÃO;65;65;65;65;65;65;65;65;65;65;65;65
;;;25 a 39;MESTRADO;;12;12;12;12;12;12;12;12;12;12;12;12
;;;25 a 39;MESTRADO;SIM;12;12;12;12;12;12;12;12;12;12;12;12
;;;25 a 39;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;25 a 39;DOUTORADO;;5;5;5;5;5;5;5;5;5;5;5;5
;;;25 a 39;DOUTORADO;SIM;5;5;5;5;5;5;5;5;5;5;5;5
;;;25 a 39;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;40 a 59;;;124;124;124;124;124;124;124;124;124;124;124;124
;;;40 a 59;;SIM;122;122;122;122;122;122;122;122;122;122;122;122
;;;40 a 59;;NÃO;250;250;250;250;250;250;250;250;250;250;250;250
;;;40 a 59;ANALFABETO;;41;41;41;41;41;41;41;41;41;41;41;41
;;;40 a 59;ANALFABETO;SIM;40;40;40;40;40;40;40;40;40;40;40;40
;;;40 a 59;ANALFABETO;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;40 a 59;ATE 5.A INC;;142;142;142;142;142;142;142;142;142;142;142;142
;;;40 a 59;ATE 5.A INC;SIM;137;137;137;137;137;137;137;137;137;137;137;137
;;;40 a 59;ATE 5.A INC;NÃO;5;5;5;5;5;5;5;5;5;5;5;5
;;;40 a 59;5.A CO FUND;;123;123;123;123;123;123;123;123;123;123;123;123
;;;40 a 59;5.A CO FUND;SIM;118;118;118;118;118;118;118;118;118;118;118;118
;;;40 a 59;5.A CO FUND;NÃO;5;5;5;5;5;5;5;5;5;5;5;5
;;;40 a 59;6. A 9. FUND;;266;266;266;266;266;266;266;266;266;266;266;266
;;;40 a 59;6. A 9. FUND;SIM;262;262;262;262;262;262;262;262;262;262;262;262
;;;40 a 59;6. A 9. FUND;NÃO;4;4;4;4;4;4;4;4;4;4;4;4
;;;40 a 59;FUND COMPL;;661;661;661;661;661;661;661;661;661;661;661;661
;;;40 a 59;FUND COMPL;SIM;625;625;625;625;625;625;625;625;625;625;625;625
;;;40 a 59;FUND COMPL;NÃO;36;36;36;36;36;36;36;36;36;36;36;36
;;;40 a 59;MEDIO INCOMP;;352;352;352;352;352;352;352;352;352;352;352;352
;;;40 a 59;MEDIO INCOMP;SIM;332;332;332;332;332;332;332;332;332;332;332;332
;;;40 a 59;MEDIO INCOMP;NÃO;20;20;20;20;20;20;20;20;20;20;20;20
;;;40 a 59;MEDIO COMPL;;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446;4446
;;;40 a 59;MEDIO COMPL;SIM;4208;4208;4208;4208;4208;4208;4208;4208;4208;4208;4208;4208
;;;40 a 59;MEDIO COMPL;NÃO;238;238;238;238;238;238;238;238;238;238;238;238
;;;40 a 59;SUP. INCOMP;;140;140;140;140;140;140;140;140;140;140;140;140
;;;40 a 59;SUP. INCOMP;SIM;136;136;136;136;136;136;136;136;136;136;136;136
;;;40 a 59;SUP. INCOMP;NÃO;4;4;4;4;4;4;4;4;4;4;4;4
;;;40 a 59;SUP. COMP;;768;768;768;768;768;768;768;768;768;768;768;768
;;;40 a 59;SUP. COMP;SIM;731;731;731;731;731;731;731;731;731;731;731;731
;;;40 a 59;SUP. COMP;NÃO;37;37;37;37;37;37;37;37;37;37;37;37
;;;40 a 59;MESTRADO;;16;16;16;16;16;16;16;16;16;16;16;16
;;;40 a 59;MESTRADO;SIM;16;16;16;16;16;16;16;16;16;16;16;16
;;;40 a 59;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;40 a 59;DOUTORADO;;8;8;8;8;8;8;8;8;8;8;8;8
;;;40 a 59;DOUTORADO;SIM;8;8;8;8;8;8;8;8;8;8;8;8
;;;40 a 59;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;60 ou mais;;;261;261;261;261;261;261;261;261;261;261;261;261
;;;60 ou mais;;SIM;245;245;245;245;245;245;245;245;245;245;245;245
;;;60 ou mais;;NÃO;36;36;36;36;36;36;36;36;36;36;36;36
;;;60 ou mais;ANALFABETO;;8;8;8;8;8;8;8;8;8;8;8;8
;;;60 ou mais;ANALFABETO;SIM;7;7;7;7;7;7;7;7;7;7;7;7
;;;60 ou mais;ANALFABETO;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;60 ou mais;ATE 5.A INC;;32;32;32;32;32;32;32;32;32;32;32;32
;;;60 ou mais;ATE 5.A INC;SIM;32;32;32;32;32;32;32;32;32;32;32;32
;;;60 ou mais;ATE 5.A INC;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;60 ou mais;5.A CO FUND;;32;32;32;32;32;32;32;32;32;32;32;32
;;;60 ou mais;5.A CO FUND;SIM;31;31;31;31;31;31;31;31;31;31;31;31
;;;60 ou mais;5.A CO FUND;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;60 ou mais;6. A 9. FUND;;51;51;51;51;51;51;51;51;51;51;51;51
;;;60 ou mais;6. A 9. FUND;SIM;48;48;48;48;48;48;48;48;48;48;48;48
;;;60 ou mais;6. A 9. FUND;NÃO;3;3;3;3;3;3;3;3;3;3;3;3
;;;60 ou mais;FUND COMPL;;104;104;104;104;104;104;104;104;104;104;104;104
;;;60 ou mais;FUND COMPL;SIM;99;99;99;99;99;99;99;99;99;99;99;99
;;;60 ou mais;FUND COMPL;NÃO;5;5;5;5;5;5;5;5;5;5;5;5
;;;60 ou mais;MEDIO INCOMP;;35;35;35;35;35;35;35;35;35;35;35;35
;;;60 ou mais;MEDIO INCOMP;SIM;34;34;34;34;34;34;34;34;34;34;34;34
;;;60 ou mais;MEDIO INCOMP;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;;60 ou mais;MEDIO COMPL;;401;401;401;401;401;401;401;401;401;401;401;401
;;;60 ou mais;MEDIO COMPL;SIM;379;379;379;379;379;379;379;379;379;379;379;379
;;;60 ou mais;MEDIO COMPL;NÃO;22;22;22;22;22;22;22;22;22;22;22;22
;;;60 ou mais;SUP. INCOMP;;5;5;5;5;5;5;5;5;5;5;5;5
;;;60 ou mais;SUP. INCOMP;SIM;5;5;5;5;5;5;5;5;5;5;5;5
;;;60 ou mais;SUP. INCOMP;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;60 ou mais;SUP. COMP;;69;69;69;69;69;69;69;69;69;69;69;69
;;;60 ou mais;SUP. COMP;SIM;66;66;66;66;66;66;66;66;66;66;66;66
;;;60 ou mais;SUP. COMP;NÃO;3;3;3;3;3;3;3;3;3;3;3;3
;;;60 ou mais;MESTRADO;;4;4;4;4;4;4;4;4;4;4;4;4
;;;60 ou mais;MESTRADO;SIM;4;4;4;4;4;4;4;4;4;4;4;4
;;;60 ou mais;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;;60 ou mais;DOUTORADO;;1;1;1;1;1;1;1;1;1;1;1;1
;;;60 ou mais;DOUTORADO;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;;60 ou mais;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;;;;121;121;121;121;121;121;121;121;121;121;121;121
;;Branca;;;SIM;120;120;120;120;120;120;120;120;120;120;120;120
;;Branca;;;NÃO;296;296;296;296;296;296;296;296;296;296;296;296
;;Branca;;ANALFABETO;;29;29;29;29;29;29;29;29;29;29;29;29
;;Branca;;ANALFABETO;SIM;27;27;27;27;27;27;27;27;27;27;27;27
;;Branca;;ANALFABETO;NÃO;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;;ATE 5.A INC;;77;77;77;77;77;77;77;77;77;77;77;77
;;Branca;;ATE 5.A INC;SIM;77;77;77;77;77;77;77;77;77;77;77;77
;;Branca;;ATE 5.A INC;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;;5.A CO FUND;;93;93;93;93;93;93;93;93;93;93;93;93
;;Branca;;5.A CO FUND;SIM;89;89;89;89;89;89;89;89;89;89;89;89
;;Branca;;5.A CO FUND;NÃO;4;4;4;4;4;4;4;4;4;4;4;4
;;Branca;;6. A 9. FUND;;194;194;194;194;194;194;194;194;194;194;194;194
;;Branca;;6. A 9. FUND;SIM;186;186;186;186;186;186;186;186;186;186;186;186
;;Branca;;6. A 9. FUND;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;Branca;;FUND COMPL;;575;575;575;575;575;575;575;575;575;575;575;575
;;Branca;;FUND COMPL;SIM;550;550;550;550;550;550;550;550;550;550;550;550
;;Branca;;FUND COMPL;NÃO;25;25;25;25;25;25;25;25;25;25;25;25
;;Branca;;MEDIO INCOMP;;407;407;407;407;407;407;407;407;407;407;407;407
;;Branca;;MEDIO INCOMP;SIM;378;378;378;378;378;378;378;378;378;378;378;378
;;Branca;;MEDIO INCOMP;NÃO;29;29;29;29;29;29;29;29;29;29;29;29
;;Branca;;MEDIO COMPL;;4981;4981;4981;4981;4981;4981;4981;4981;4981;4981;4981;4981
;;Branca;;MEDIO COMPL;SIM;4741;4741;4741;4741;4741;4741;4741;4741;4741;4741;4741;4741
;;Branca;;MEDIO COMPL;NÃO;240;240;240;240;240;240;240;240;240;240;240;240
;;Branca;;SUP. INCOMP;;321;321;321;321;321;321;321;321;321;321;321;321
;;Branca;;SUP. INCOMP;SIM;301;301;301;301;301;301;301;301;301;301;301;301
;;Branca;;SUP. INCOMP;NÃO;20;20;20;20;20;20;20;20;20;20;20;20
;;Branca;;SUP. COMP;;1093;1093;1093;1093;1093;1093;1093;1093;1093;1093;1093;1093
;;Branca;;SUP. COMP;SIM;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039;1039
;;Branca;;SUP. COMP;NÃO;54;54;54;54;54;54;54;54;54;54;54;54
;;Branca;;MESTRADO;;26;26;26;26;26;26;26;26;26;26;26;26
;;Branca;;MESTRADO;SIM;26;26;26;26;26;26;26;26;26;26;26;26
;;Branca;;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;;DOUTORADO;;9;9;9;9;9;9;9;9;9;9;9;9
;;Branca;;DOUTORADO;SIM;9;9;9;9;9;9;9;9;9;9;9;9
;;Branca;;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;;;46;46;46;46;46;46;46;46;46;46;46;46
;;Branca;14 a 17;;SIM;32;32;32;32;32;32;32;32;32;32;32;32
;;Branca;14 a 17;;NÃO;14;14;14;14;14;14;14;14;14;14;14;14
;;Branca;14 a 17;ANALFABETO;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;ANALFABETO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;ANALFABETO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;ATE 5.A INC;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;ATE 5.A INC;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;ATE 5.A INC;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;5.A CO FUND;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;5.A CO FUND;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;6. A 9. FUND;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;6. A 9. FUND;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;6. A 9. FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;FUND COMPL;;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;14 a 17;FUND COMPL;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;14 a 17;FUND COMPL;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;14 a 17;MEDIO INCOMP;;20;20;20;20;20;20;20;20;20;20;20;20
;;Branca;14 a 17;MEDIO INCOMP;SIM;12;12;12;12;12;12;12;12;12;12;12;12
;;Branca;14 a 17;MEDIO INCOMP;NÃO;8;8;8;8;8;8;8;8;8;8;8;8
;;Branca;14 a 17;MEDIO COMPL;;22;22;22;22;22;22;22;22;22;22;22;22
;;Branca;14 a 17;MEDIO COMPL;SIM;18;18;18;18;18;18;18;18;18;18;18;18
;;Branca;14 a 17;MEDIO COMPL;NÃO;4;4;4;4;4;4;4;4;4;4;4;4
;;Branca;14 a 17;SUP. INCOMP;;2;2;2;2;2;2;2;2;2;2;2;2
;;Branca;14 a 17;SUP. INCOMP;SIM;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;14 a 17;SUP. INCOMP;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;14 a 17;SUP. COMP;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;SUP. COMP;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;SUP. COMP;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;MESTRADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;MESTRADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;MESTRADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;DOUTORADO;;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;DOUTORADO;SIM;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;14 a 17;DOUTORADO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;18 a 24;;;995;995;995;995;995;995;995;995;995;995;995;995
;;Branca;18 a 24;;SIM;927;927;927;927;927;927;927;927;927;927;927;927
;;Branca;18 a 24;;NÃO;87;87;87;87;87;87;87;87;87;87;87;87
;;Branca;18 a 24;ANALFABETO;;4;4;4;4;4;4;4;4;4;4;4;4
;;Branca;18 a 24;ANALFABETO;SIM;4;4;4;4;4;4;4;4;4;4;4;4
;;Branca;18 a 24;ANALFABETO;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;18 a 24;ATE 5.A INC;;5;5;5;5;5;5;5;5;5;5;5;5
;;Branca;18 a 24;ATE 5.A INC;SIM;5;5;5;5;5;5;5;5;5;5;5;5
;;Branca;18 a 24;ATE 5.A INC;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;18 a 24;5.A CO FUND;;9;9;9;9;9;9;9;9;9;9;9;9
;;Branca;18 a 24;5.A CO FUND;SIM;9;9;9;9;9;9;9;9;9;9;9;9
;;Branca;18 a 24;5.A CO FUND;NÃO;0;0;0;0;0;0;0;0;0;0;0;0
;;Branca;18 a 24;6. A 9. FUND;;17;17;17;17;17;17;17;17;17;17;17;17
;;Branca;18 a 24;6. A 9. FUND;SIM;16;16;16;16;16;16;16;16;16;16;16;16
;;Branca;18 a 24;6. A 9. FUND;NÃO;1;1;1;1;1;1;1;1;1;1;1;1
;;Branca;18 a 24;FUND COMPL;;74;74;74;74;74;74;74;74;74;74;74;74
;;Branca;18 a 24;FUND COMPL;SIM;74;74;74;74;74;74;74;74;74;74;74;74
